timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z,IMU_vel_x,IMU_vel_y,IMU_vel_z,Razor_acc_x,Razor_acc_y,Razor_acc_z,Razor_vel_x,Razor_vel_y,Razor_vel_z,LC_data,speed,current,duty_cycle
0:00:00.000433,-448,165,884,2,-12,3,-0.284,-0.023,0.972,0.198,-0.168,-0.763,1360,67240464,9870,48774
0:00:00.000622,-450,167,868,3,-12,1,-0.284,-0.023,0.973,0.107,-0.137,-0.809,,,,
0:00:00.000673,-453,166,882,1,-14,0,-0.281,-0.025,0.966,0.038,-0.145,-0.816,,,,
0:00:00.000720,-451,153,874,3,-9,-1,-0.285,-0.026,0.969,0.13,-0.137,-0.839,,,,
0:00:00.000764,-451,160,872,3,-10,0,-0.285,-0.027,0.972,0.221,-0.168,-0.885,,,,
0:00:00.000810,-447,159,876,2,-8,0,,,,,,,,,,
0:00:00.013765,-454,160,890,2,-9,1,-0.283,-0.025,0.971,0.114,-0.16,-0.893,3108,,,
0:00:00.056399,-441,161,878,2,-11,0,-0.284,-0.024,0.974,0.069,-0.145,-0.786,,,,
0:00:00.056736,-448,163,886,2,-11,0,-0.284,-0.023,0.973,0.122,-0.244,-0.793,,67240464,9870,48774
0:00:00.056792,-452,162,882,2,-11,1,-0.283,-0.023,0.97,0.099,-0.183,-0.816,,,,
0:00:00.058443,-438,161,880,0,-11,2,-0.283,-0.024,0.972,0.114,-0.198,-0.717,,,,
0:00:00.058508,-444,166,884,3,-9,1,,,,,,,,,,
0:00:00.058555,-451,162,876,0,-10,3,-0.284,-0.024,0.972,0.198,-0.206,-0.801,,,,
0:00:00.058602,-447,153,874,3,-10,0,-0.284,-0.025,0.975,0.099,-0.214,-0.748,9691,,,
0:00:00.058647,-453,156,882,2,-13,1,-0.284,-0.024,0.974,0.092,-0.145,-0.877,,,,
0:00:00.065376,-452,162,884,2,-11,0,-0.282,-0.025,0.971,0.076,-0.145,-0.916,,,,
0:00:00.083425,-447,164,888,2,-10,1,-0.285,-0.025,0.971,0.114,-0.16,-0.832,,67240464,9870,48774
0:00:00.111868,-446,165,871,1,-10,1,,,,,,,,,,
0:00:00.111984,-439,159,882,3,-11,3,-0.284,-0.026,0.97,0.153,-0.191,-0.763,,,,
0:00:00.112033,-443,157,871,2,-12,0,-0.282,-0.024,0.971,0.015,-0.252,-0.74,,,,
0:00:00.125118,-450,163,866,1,-9,1,-0.284,-0.023,0.971,0.038,-0.237,-0.839,-3520,,,
0:00:00.125192,-448,155,880,3,-10,0,-0.284,-0.024,0.973,0.084,-0.191,-0.839,,,,
0:00:00.125238,-445,156,884,3,-11,4,-0.284,-0.023,0.973,0.137,-0.206,-0.862,,,,
0:00:00.133235,-452,164,875,4,-9,2,,,,,,,,,,
0:00:00.133322,-455,159,873,2,-10,0,-0.282,-0.024,0.967,0.137,-0.206,-0.87,,67240464,9870,48774
0:00:00.133371,-448,153,864,3,-10,2,-0.281,-0.021,0.971,0.061,-0.237,-0.839,,,,
0:00:00.148835,-447,164,887,1,-11,2,-0.284,-0.025,0.972,0.16,-0.122,-0.778,,,,
0:00:00.148913,-451,167,876,1,-9,1,-0.284,-0.024,0.968,0.206,-0.145,-0.786,9497,,,
0:00:00.169702,-459,154,884,1,-9,2,-0.283,-0.024,0.971,,,,,,,
0:00:00.175489,-455,161,868,2,-10,5,,,,0.237,-0.267,-0.816,,,,
0:00:00.175557,-451,159,875,0,-9,0,-0.281,-0.023,0.968,0.114,-0.275,-0.854,,,,
0:00:00.175604,-446,158,879,2,-10,0,-0.283,-0.022,0.97,0.168,-0.198,-0.908,,,,
0:00:00.199465,-450,159,880,0,-10,0,-0.283,-0.022,0.971,0.168,-0.237,-0.839,,67240464,9870,48774
0:00:00.210355,-439,166,883,1,-9,3,-0.282,-0.024,0.972,0.099,-0.252,-0.839,,,,
0:00:00.210424,-441,157,871,1,-10,0,-0.282,-0.025,0.971,,,,6710,,,
0:00:00.210469,-444,162,872,0,-12,1,,,,0.061,-0.229,-0.87,,,,
0:00:00.224756,-441,158,880,5,-10,1,-0.283,-0.025,0.973,0.153,-0.282,-0.877,,,,
0:00:00.241759,-455,159,880,1,-10,1,-0.282,-0.026,0.972,0.175,-0.229,-0.832,,,,
0:00:00.241831,-457,165,888,2,-11,0,-0.28,-0.025,0.971,0.092,-0.198,-0.938,,,,
0:00:00.242819,-448,164,859,3,-7,1,-0.282,-0.025,0.97,-0.031,-0.153,-0.893,,,,
0:00:00.244707,-447,163,878,0,-10,1,-0.282,-0.025,0.972,,,,,67240464,9870,48774
0:00:00.245279,-456,159,867,4,-8,0,,,,0.015,-0.221,-0.816,-8016,,,
0:00:00.253784,-454,151,872,2,-9,2,-0.284,-0.026,0.971,0.107,-0.252,-0.793,,,,
0:00:00.260458,-447,160,871,1,-10,0,-0.284,-0.026,0.974,0.13,-0.175,-0.877,,,,
0:00:00.265532,-450,163,874,1,-10,0,-0.285,-0.027,0.972,0.107,-0.153,-0.847,,,,
0:00:00.272214,-447,161,869,3,-11,0,-0.282,-0.026,0.97,0.069,-0.13,-0.824,,,,
0:00:00.285664,-442,162,882,3,-10,0,,,,,,,,,,
0:00:00.287329,-451,156,882,2,-10,1,-0.283,-0.025,0.972,0.114,-0.16,-0.801,,,,
0:00:00.295229,-447,164,879,3,-9,0,-0.284,-0.026,0.97,0.031,-0.191,-0.839,4945,67240464,9870,48774
0:00:00.305232,-448,157,874,2,-10,0,-0.285,-0.025,0.967,0.031,-0.252,-0.778,,,,
0:00:00.308032,-447,163,876,3,-10,3,-0.286,-0.024,0.97,0.191,-0.191,-0.885,,,,
0:00:00.320443,-445,165,881,3,-8,2,-0.283,-0.026,0.974,,,,,,,
0:00:00.325573,-453,159,871,2,-8,1,,,,0.069,-0.175,-0.786,,,,
0:00:00.328268,-454,161,875,3,-9,0,-0.282,-0.026,0.972,0.107,-0.198,-0.908,,,,
0:00:00.337634,-448,156,873,1,-7,0,-0.282,-0.025,0.972,0.137,-0.275,-0.877,,,,
0:00:00.343291,-454,161,863,2,-10,0,-0.282,-0.025,0.972,0.191,-0.237,-0.908,199,,,
0:00:00.367182,-457,159,876,4,-11,3,-0.283,-0.024,0.972,0.221,-0.183,-0.801,,67240464,9870,48774
0:00:00.367254,-438,160,869,2,-9,2,-0.284,-0.022,0.974,,,,,,,
0:00:00.367310,-453,163,875,2,-9,1,,,,0.153,-0.168,-0.778,,,,
0:00:00.415370,-442,162,869,,,,-0.284,-0.025,0.973,0.076,-0.229,-0.793,,,,
0:00:00.445984,-445,160,877,1,-11,1,-0.284,-0.023,0.972,0.092,-0.214,-0.847,,,,
0:00:00.446485,-445,163,870,2,-10,0,-0.283,-0.025,0.973,0.031,-0.122,-0.854,,,,
0:00:00.446552,-446,153,872,1,-10,1,-0.283,-0.025,0.971,0.015,-0.099,-0.755,1465,,,
0:00:00.446596,-447,162,879,1,-9,1,-0.284,-0.023,0.969,,,,,,,
0:00:00.446648,-449,159,874,1,-10,0,,,,0.137,-0.122,-0.824,,67240464,9870,48774
0:00:00.447879,-451,170,866,2,-9,0,-0.283,-0.022,0.972,0.084,-0.191,-0.862,,,,
0:00:00.447964,-449,166,877,4,-10,1,-0.284,-0.023,0.97,0.069,-0.237,-0.786,,,,
0:00:00.448015,-452,166,874,0,-12,1,-0.283,-0.024,0.971,-0.008,-0.16,-0.839,,,,
0:00:00.449638,-446,161,879,2,-11,0,-0.282,-0.023,0.969,0.076,-0.153,-0.778,,,,
0:00:00.449710,-443,157,888,1,-10,0,-0.287,-0.025,0.97,,,,-454,,,
0:00:00.449754,-448,162,882,2,-11,0,,,,0.114,-0.16,-0.748,,,,
0:00:00.482010,-450,153,875,0,-8,0,-0.285,-0.024,0.975,0.191,-0.267,-0.801,,,,
0:00:00.508311,-450,165,878,2,-8,0,-0.283,-0.026,0.972,0.175,-0.237,-0.786,,67240464,9870,48774
0:00:00.508376,-452,164,867,3,-11,0,-0.282,-0.027,0.968,0.13,-0.107,-0.816,,,,
0:00:00.508428,-451,166,882,3,-10,1,-0.284,-0.024,0.97,,,,,,,
0:00:00.508472,-453,159,881,2,-12,0,-0.283,-0.023,0.97,0.046,-0.153,-0.824,,,,
0:00:00.509969,-445,160,878,2,-7,1,,,,0.061,-0.259,-0.763,3147,,,
0:00:00.512930,-450,157,879,1,-5,0,-0.282,-0.025,0.971,0.069,-0.214,-0.847,,,,
0:00:00.513003,-448,159,876,2,-11,3,-0.284,-0.025,0.973,0.076,-0.191,-0.755,,,,
0:00:00.514880,-448,166,873,2,-11,1,-0.285,-0.027,0.972,0.16,-0.175,-0.702,,,,
0:00:00.522847,-447,163,876,1,-11,0,-0.283,-0.023,0.974,,,,,67240464,9870,48774
0:00:00.524174,-454,164,874,1,-11,2,-0.284,-0.025,0.971,0.244,-0.229,-0.717,,,,
0:00:00.554155,-447,154,882,-1,-6,1,,,,0.237,-0.244,-0.885,,,,
0:00:00.561069,-454,160,878,1,-7,1,-0.282,-0.023,0.971,0.0,-0.198,-0.786,-6222,,,
0:00:00.561162,-448,162,879,0,-11,0,-0.283,-0.025,0.97,0.053,-0.183,-0.809,,,,
0:00:00.561216,-443,166,874,2,-11,1,-0.284,-0.024,0.971,0.145,-0.099,-0.786,,,,
0:00:00.561264,-452,163,878,2,-11,2,-0.283,-0.024,0.973,,,,,,,
0:00:00.568978,-453,166,866,0,-13,0,,,,0.099,-0.16,-0.854,,,,
0:00:00.573450,-440,165,874,2,-9,2,-0.284,-0.024,0.972,0.13,-0.168,-0.885,,67240464,9870,48774
0:00:00.580276,-455,163,884,1,-7,1,-0.283,-0.024,0.97,0.099,-0.137,-0.824,,,,
0:00:00.591004,-449,151,875,0,-10,1,-0.283,-0.023,0.969,0.099,-0.183,-0.809,-5459,,,
0:00:00.597727,-444,163,879,2,-10,3,-0.284,-0.024,0.974,0.015,-0.153,-0.839,,,,
0:00:00.602904,-447,162,896,3,-13,3,-0.283,-0.023,0.97,,,,,,,
0:00:00.610442,-441,161,880,3,-13,0,,,,0.069,-0.214,-0.847,,,,
0:00:00.615387,-447,164,875,2,-7,3,-0.282,-0.025,0.971,0.061,-0.198,-0.816,,,,
0:00:00.655395,-449,157,893,1,-9,0,-0.283,-0.026,0.973,0.069,-0.137,-0.816,,,,
0:00:00.655487,-445,166,871,1,-8,2,-0.283,-0.025,0.969,0.092,-0.244,-0.801,,67240464,9870,48774
0:00:00.655556,-456,157,883,4,-11,3,-0.284,-0.024,0.971,,,,-182,,,
0:00:00.655621,-441,165,864,2,-12,1,-0.284,-0.026,0.969,0.084,-0.214,-0.74,,,,
0:00:00.655694,-443,157,887,2,-11,0,,,,0.107,-0.092,-0.832,,,,
0:00:00.670052,-446,159,878,2,-9,1,-0.283,-0.027,0.971,0.114,-0.16,-0.793,,,,
0:00:00.670143,-446,160,880,0,-10,1,-0.284,-0.026,0.971,0.206,-0.237,-0.74,,,,
0:00:00.678188,-454,165,872,2,-12,3,-0.283,-0.025,0.971,0.221,-0.191,-0.801,,,,
0:00:00.687490,-446,165,875,1,-11,1,-0.285,-0.023,0.969,,,,,,,
0:00:00.690043,-449,157,868,2,-12,0,-0.283,-0.025,0.972,0.183,-0.153,-0.908,-13,,,
0:00:00.693296,-453,165,882,2,-9,0,,,,0.107,-0.221,-0.931,,67240464,9870,48774
0:00:00.701419,-449,166,878,2,-9,2,-0.282,-0.026,0.971,0.16,-0.198,-0.832,,,,
0:00:00.708942,-447,153,871,4,-10,2,-0.285,-0.027,0.972,0.244,-0.206,-0.824,,,,
0:00:00.714046,-449,161,880,2,-10,0,-0.282,-0.022,0.971,0.137,-0.206,-0.809,,,,
0:00:00.720353,-446,153,878,3,-9,0,-0.284,-0.024,0.973,,,,,,,
0:00:00.736045,-436,163,883,0,-9,0,-0.283,-0.024,0.972,0.046,-0.099,-0.832,,,,
0:00:00.741452,-443,162,876,2,-11,2,,,,0.038,-0.076,-0.809,-4520,,,
