timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:00,-15,59,1020
0:00:00.000218,-5,58,1012
0:00:00.000295,-5,51,1008
0:00:00.000365,-15,66,1016
0:00:00.000594,-15,63,1012
0:00:00.000684,-14,54,1007
0:00:00.003275,-2,52,1008
0:00:00.006377,-15,70,1017
0:00:00.014610,-19,58,1009
0:00:00.019628,-10,60,1008
0:00:00.026761,-8,53,1015
0:00:00.034006,-12,59,1014
0:00:00.040711,-11,68,1010
0:00:00.049021,-13,48,1015
0:00:00.054734,-8,57,1007
0:00:00.061508,-12,65,1012
0:00:00.068930,-13,61,1015
0:00:00.075590,-13,59,1009
0:00:00.083910,-14,67,1020
0:00:00.089651,-15,59,1009
0:00:00.097062,-11,60,1010
0:00:00.104700,-16,51,1009
0:00:00.110660,-19,60,1017
0:00:00.121494,-9,55,1013
0:00:00.125584,-11,69,1005
0:00:00.132755,-14,48,1004
0:00:00.144823,-18,60,1013
0:00:00.145497,-8,56,1008
0:00:00.159550,-17,45,1009
0:00:00.164591,-13,54,1015
0:00:00.166629,-14,64,1007
0:00:00.179518,-9,52,1013
0:00:00.180560,-12,52,1014
0:00:00.189489,-23,58,1008
0:00:00.196494,-10,52,1012
0:00:00.201479,-14,57,1017
0:00:00.209699,-8,63,1007
0:00:00.218992,-11,62,1015
0:00:00.228929,-17,54,1009
0:00:00.236920,-14,54,1017
0:00:00.240302,-5,61,1007
0:00:00.249459,-11,63,1006
0:00:00.254187,-16,55,1012
0:00:00.263906,-21,61,1020
0:00:00.273888,-19,62,1023
0:00:00.284679,-17,68,1000
0:00:00.286465,-12,55,1008
0:00:00.286701,-11,52,1013
0:00:00.296711,-12,57,1007
0:00:00.299523,-11,63,1015
0:00:00.308624,-18,57,1008
0:00:00.314264,-9,51,1014
0:00:00.320733,-14,52,1009
0:00:00.333316,-13,53,1006
0:00:00.334871,-5,58,1015
0:00:00.348972,-9,61,1010
0:00:00.353490,-9,60,1015
0:00:00.356293,-15,56,1007
0:00:00.364801,-21,59,1008
0:00:00.369538,-10,56,1008
0:00:00.378439,-9,53,1005
0:00:00.383502,-7,55,1011
0:00:00.395541,-16,56,1016
0:00:00.400312,-16,59,1013
0:00:00.408423,-11,52,1017
0:00:00.418453,-23,62,1007
0:00:00.418895,-11,62,1009
0:00:00.432569,-16,57,1010
0:00:00.432641,-3,59,1010
0:00:00.439524,-11,56,1017
0:00:00.450334,-19,57,1017
0:00:00.453546,-10,62,1008
0:00:00.467708,-11,55,1012
0:00:00.472947,-20,56,1009
0:00:00.475419,-10,61,1007
0:00:00.484258,-20,59,1010
0:00:00.488648,-8,59,1000
0:00:00.505587,-13,53,1016
0:00:00.507501,-15,63,1018
0:00:00.509512,-12,54,1016
0:00:00.517686,-13,54,993
0:00:00.527287,-20,57,1017
0:00:00.532545,-19,60,1010
0:00:00.537683,-20,56,1007
0:00:00.551847,-11,59,1024
0:00:00.552220,-5,49,1009
0:00:00.559475,-12,66,1006
0:00:00.569121,-15,65,1020
0:00:00.572684,-10,62,1010
0:00:00.586530,-11,58,1013
0:00:00.587322,-19,61,1015
0:00:00.594413,-7,58,1006
0:00:00.607330,-17,55,1014
0:00:00.611146,-12,56,1004
0:00:00.621085,-11,55,1008
0:00:00.626259,-18,58,1012
0:00:00.635857,-9,61,1016
0:00:00.646405,-13,60,1015
0:00:00.655728,-14,53,1007
0:00:00.660364,-17,58,1014
0:00:00.665501,-20,54,1020
0:00:00.665568,-12,57,1008
0:00:00.670681,-17,57,1007
0:00:00.677536,-5,58,1007
0:00:00.690455,-11,57,1003
0:00:00.695517,-15,60,1012
0:00:00.705462,-13,65,1012
0:00:00.705657,-10,61,1017
0:00:00.716477,-13,55,1013
0:00:00.726508,-13,53,1008
0:00:00.733074,-19,58,1010
0:00:00.740398,-13,62,1014
0:00:00.740847,-19,62,1022
0:00:00.747653,-9,57,1015
0:00:00.757614,-16,65,1018
0:00:00.764850,-19,58,1020
0:00:00.779412,-8,62,1014
0:00:00.784302,-11,64,1007
0:00:00.789308,-7,52,1007
0:00:00.799757,-5,64,1003
0:00:00.801850,-12,54,1018
0:00:00.804878,-9,61,1004
0:00:00.811278,-22,59,1016
0:00:00.819312,-16,55,1013
0:00:00.829039,-15,64,1017
0:00:00.831578,-7,52,1009
0:00:00.839012,-11,58,1009
0:00:00.846616,-18,54,1013
0:00:00.858551,-21,60,999
0:00:00.859551,-13,47,1018
0:00:00.868766,-14,58,1001
0:00:00.874074,-15,57,1009
0:00:00.880684,-12,59,1017
0:00:00.888834,-21,63,1008
0:00:00.895423,-15,63,1010
0:00:00.903439,-12,57,1018
0:00:00.911347,-12,56,1001
0:00:00.957928,-8,56,1010
0:00:00.958014,-4,65,1018
0:00:00.958064,-8,55,1013
0:00:00.958112,-17,67,1017
0:00:00.979131,-14,57,1017
0:00:00.979388,-9,57,1012
0:00:00.979444,-14,54,1015
0:00:00.989367,-11,53,1011
0:00:00.989440,-16,54,1015
0:00:00.989485,-7,63,1018
0:00:00.989529,-17,62,1013
0:00:01.019865,-11,57,1015
0:00:01.019983,-12,53,1008
0:00:01.020040,-9,56,1006
0:00:01.020093,-10,50,1009
0:00:01.044704,-20,63,1007
0:00:01.044844,-12,60,1012
0:00:01.045213,-10,57,1001
0:00:01.045263,-15,58,1013
0:00:01.049937,-12,52,1013
0:00:01.055551,-15,62,1008
0:00:01.068676,-14,57,1016
0:00:01.069520,-16,55,1009
0:00:01.111691,-14,66,1008
0:00:01.116915,-11,59,1012
0:00:01.116983,-14,57,1012
0:00:01.117090,-10,63,999
0:00:01.117337,-17,59,1017
0:00:01.117397,-13,51,1011
0:00:01.119817,-15,57,1009
0:00:01.126672,-6,57,1008
0:00:01.139691,-4,53,1009
0:00:01.141607,-18,56,1017
0:00:01.146847,-6,58,1014
0:00:01.154704,-24,60,1010
0:00:01.166962,-8,51,1003
0:00:01.167603,-14,59,1021
0:00:01.174639,-19,57,1017
0:00:01.196326,-13,61,1012
0:00:01.196871,-16,61,1010
0:00:01.197141,-18,57,1009
0:00:01.202699,-15,56,1007
0:00:01.216603,-12,66,1008
0:00:01.216847,-8,64,1016
0:00:01.223622,-9,54,1000
0:00:01.230952,-16,59,1015
0:00:01.237656,-16,63,1010
0:00:01.248260,-9,64,1011
0:00:01.251633,-19,58,1009
0:00:01.258750,-13,60,1007
0:00:01.266064,-23,61,1002
0:00:01.272680,-5,58,1013
0:00:01.298205,-13,53,1010
0:00:01.298288,-15,51,1015
0:00:01.298336,-14,55,1013
0:00:01.306861,-12,62,1010
0:00:01.307574,-15,58,1007
0:00:01.316123,-15,62,1002
0:00:01.321855,-14,51,1017
0:00:01.328900,-15,52,1010
0:00:01.336022,-9,54,1013
0:00:01.342689,-19,70,1011
0:00:01.352703,-11,51,1016
0:00:01.359458,-11,56,1016
0:00:01.380497,-6,58,1008
0:00:01.381183,-9,57,1009
0:00:01.381242,0,58,1012
