timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:00.000760,-15,59,1020
0:00:00.000978,-5,58,1012
0:00:00.001055,-5,51,1008
0:00:00.001125,-15,66,1016
0:00:00.001354,-15,63,1012
0:00:00.001444,-14,54,1007
0:00:00.004035,-2,52,1008
0:00:00.007137,-15,70,1017
0:00:00.015370,-19,58,1009
0:00:00.020388,-10,60,1008
0:00:00.027521,-8,53,1015
0:00:00.034766,-12,59,1014
0:00:00.041471,-11,68,1010
0:00:00.049781,-13,48,1015
0:00:00.055494,-8,57,1007
0:00:00.062268,-12,65,1012
0:00:00.069690,-13,61,1015
0:00:00.076350,-13,59,1009
0:00:00.084670,-14,67,1020
0:00:00.090411,-15,59,1009
0:00:00.097822,-11,60,1010
0:00:00.105460,-16,51,1009
0:00:00.111420,-19,60,1017
0:00:00.122254,-9,55,1013
0:00:00.126344,-11,69,1005
0:00:00.133515,-14,48,1004
0:00:00.145583,-18,60,1013
0:00:00.146257,-8,56,1008
0:00:00.160310,-17,45,1009
0:00:00.165351,-13,54,1015
0:00:00.167389,-14,64,1007
0:00:00.180278,-9,52,1013
0:00:00.181320,-12,52,1014
0:00:00.190249,-23,58,1008
0:00:00.197254,-10,52,1012
0:00:00.202239,-14,57,1017
0:00:00.210459,-8,63,1007
0:00:00.219752,-11,62,1015
0:00:00.229689,-17,54,1009
0:00:00.237680,-14,54,1017
0:00:00.241062,-5,61,1007
0:00:00.250219,-11,63,1006
0:00:00.254947,-16,55,1012
0:00:00.264666,-21,61,1020
0:00:00.274648,-19,62,1023
0:00:00.285439,-17,68,1000
0:00:00.287225,-12,55,1008
0:00:00.287461,-11,52,1013
0:00:00.297471,-12,57,1007
0:00:00.300283,-11,63,1015
0:00:00.309384,-18,57,1008
0:00:00.315024,-9,51,1014
0:00:00.321493,-14,52,1009
0:00:00.334076,-13,53,1006
0:00:00.335631,-5,58,1015
0:00:00.349732,-9,61,1010
0:00:00.354250,-9,60,1015
0:00:00.357053,-15,56,1007
0:00:00.365561,-21,59,1008
0:00:00.370298,-10,56,1008
0:00:00.379199,-9,53,1005
0:00:00.384262,-7,55,1011
0:00:00.396301,-16,56,1016
0:00:00.401072,-16,59,1013
0:00:00.409183,-11,52,1017
0:00:00.419213,-23,62,1007
0:00:00.419655,-11,62,1009
0:00:00.433329,-16,57,1010
0:00:00.433401,-3,59,1010
0:00:00.440284,-11,56,1017
0:00:00.451094,-19,57,1017
0:00:00.454306,-10,62,1008
0:00:00.468468,-11,55,1012
0:00:00.473707,-20,56,1009
0:00:00.476179,-10,61,1007
0:00:00.485018,-20,59,1010
0:00:00.489408,-8,59,1000
0:00:00.506347,-13,53,1016
0:00:00.508261,-15,63,1018
0:00:00.510272,-12,54,1016
0:00:00.518446,-13,54,993
0:00:00.528047,-20,57,1017
0:00:00.533305,-19,60,1010
0:00:00.538443,-20,56,1007
0:00:00.552607,-11,59,1024
0:00:00.552980,-5,49,1009
0:00:00.560235,-12,66,1006
0:00:00.569881,-15,65,1020
0:00:00.573444,-10,62,1010
0:00:00.587290,-11,58,1013
0:00:00.588082,-19,61,1015
0:00:00.595173,-7,58,1006
0:00:00.608090,-17,55,1014
0:00:00.611906,-12,56,1004
0:00:00.621845,-11,55,1008
0:00:00.627019,-18,58,1012
0:00:00.636617,-9,61,1016
0:00:00.647165,-13,60,1015
0:00:00.656488,-14,53,1007
0:00:00.661124,-17,58,1014
0:00:00.666261,-20,54,1020
0:00:00.666328,-12,57,1008
0:00:00.671441,-17,57,1007
0:00:00.678296,-5,58,1007
0:00:00.691215,-11,57,1003
0:00:00.696277,-15,60,1012
0:00:00.706222,-13,65,1012
0:00:00.706417,-10,61,1017
0:00:00.717237,-13,55,1013
0:00:00.727268,-13,53,1008
0:00:00.733834,-19,58,1010
