timestamp,IMU_vel_x,IMU_vel_y,IMU_vel_z
0:00:00.000425,2,-12,3
0:00:00.000583,3,-12,1
0:00:00.000631,1,-14,0
0:00:00.000677,3,-9,-1
0:00:00.008182,3,-10,0
0:00:00.008720,2,-8,0
0:00:00.009046,2,-9,1
0:00:00.009110,2,-11,0
0:00:00.009160,2,-11,0
0:00:00.015452,2,-11,1
0:00:00.046468,0,-11,2
0:00:00.067722,3,-9,1
0:00:00.075982,0,-10,3
0:00:00.076044,3,-10,0
0:00:00.076093,2,-13,1
0:00:00.076142,2,-11,0
0:00:00.076209,2,-10,1
0:00:00.078835,1,-10,1
0:00:00.081034,3,-11,3
0:00:00.096507,2,-12,0
0:00:00.098986,1,-9,1
0:00:00.103916,3,-10,0
0:00:00.125324,3,-11,4
0:00:00.125409,4,-9,2
0:00:00.125458,2,-10,0
0:00:00.149418,3,-10,2
0:00:00.174677,1,-11,2
0:00:00.174777,1,-9,1
0:00:00.174832,1,-9,2
0:00:00.174880,2,-10,5
0:00:00.189325,0,-9,0
0:00:00.189424,2,-10,0
0:00:00.189520,0,-10,0
0:00:00.193063,1,-9,3
0:00:00.193130,1,-10,0
0:00:00.198241,0,-12,1
0:00:00.204406,5,-10,1
0:00:00.211224,1,-10,1
0:00:00.216806,2,-11,0
0:00:00.226196,3,-7,1
0:00:00.237939,0,-10,1
0:00:00.238001,4,-8,0
0:00:00.246987,2,-9,2
0:00:00.260831,1,-10,0
0:00:00.261230,1,-10,0
0:00:00.273349,3,-11,0
0:00:00.276321,3,-10,0
0:00:00.287935,2,-10,1
0:00:00.288010,3,-9,0
0:00:00.298282,2,-10,0
0:00:00.316980,3,-10,3
0:00:00.317919,3,-8,2
0:00:00.317978,2,-8,1
0:00:00.393791,3,-9,0
0:00:00.393871,1,-7,0
0:00:00.393916,2,-10,0
0:00:00.393958,4,-11,3
0:00:00.394000,2,-9,2
0:00:00.394044,2,-9,1
0:00:00.394116,1,-11,1
0:00:00.394159,2,-10,0
0:00:00.399674,1,-10,1
0:00:00.399758,1,-9,1
0:00:00.399811,1,-10,0
0:00:00.400013,2,-9,0
0:00:00.458430,4,-10,1
0:00:00.458498,0,-12,1
0:00:00.458542,2,-11,0
0:00:00.458585,1,-10,0
0:00:00.458673,2,-11,0
0:00:00.463596,0,-8,0
0:00:00.463655,2,-8,0
0:00:00.463698,3,-11,0
0:00:00.468863,3,-10,1
0:00:00.473792,2,-12,0
0:00:00.475738,2,-7,1
0:00:00.504980,1,-5,0
0:00:00.511857,2,-11,3
0:00:00.511920,2,-11,1
0:00:00.511964,1,-11,0
0:00:00.519304,1,-11,2
0:00:00.519367,-1,-6,1
0:00:00.524681,1,-7,1
0:00:00.533862,0,-11,0
0:00:00.545542,2,-11,1
0:00:00.548323,2,-11,2
0:00:00.553676,0,-13,0
0:00:00.563315,2,-9,2
0:00:00.604873,1,-7,1
0:00:00.606361,0,-10,1
0:00:00.606445,2,-10,3
0:00:00.606512,3,-13,3
0:00:00.606575,3,-13,0
0:00:00.606680,2,-7,3
0:00:00.620297,1,-9,0
0:00:00.620407,1,-8,2
0:00:00.631479,4,-11,3
0:00:00.640939,2,-12,1
0:00:00.641044,2,-11,0
0:00:00.644104,2,-9,1
0:00:00.652451,0,-10,1
0:00:00.659575,2,-12,3
0:00:00.664965,1,-11,1
0:00:00.671771,2,-12,0
0:00:00.686615,2,-9,0
0:00:00.692157,2,-9,2
0:00:00.706051,4,-10,2
0:00:00.706841,2,-10,0
0:00:00.711904,3,-9,0
0:00:00.734053,0,-9,0
0:00:00.765547,2,-11,2
0:00:00.768036,3,-10,4
0:00:00.768830,2,-10,1
0:00:00.769504,1,-11,2
0:00:00.796738,4,-10,0
0:00:00.805342,3,-10,1
0:00:00.805418,2,-12,1
0:00:00.805465,-1,-9,0
0:00:00.805509,0,-11,0
0:00:00.805553,2,-9,0
0:00:00.805595,1,-11,2
0:00:00.805638,2,-9,0
0:00:00.810341,0,-9,0
0:00:00.816211,2,-9,0
0:00:00.818773,2,-11,0
0:00:00.829157,4,-12,2
0:00:00.846713,1,-10,0
0:00:00.851245,2,-8,0
0:00:00.853072,0,-10,0
0:00:00.853765,3,-9,0
0:00:00.867460,1,-12,1
0:00:00.868449,4,-10,2
0:00:00.874632,2,-11,0
0:00:00.883917,2,-11,0
0:00:00.889509,4,-11,0
0:00:00.895888,1,-11,0
0:00:00.917753,1,-8,0
0:00:00.917966,2,-10,2
0:00:00.918310,0,-8,0
0:00:00.928613,2,-10,0
0:00:00.949474,2,-12,0
0:00:00.956524,-1,-9,0
0:00:00.970827,2,-11,0
0:00:00.973821,2,-10,2
0:00:00.974471,2,-9,1
0:00:00.974590,1,-11,1
0:00:00.974755,3,-12,1
0:00:00.979805,2,-9,2
0:00:00.988458,3,-10,1
0:00:00.993812,2,-9,1
0:00:01.000702,5,-10,1
0:00:01.008777,2,-9,0
0:00:01.017113,3,-11,1
0:00:01.036437,0,-11,1
0:00:01.036825,5,-10,0
0:00:01.037171,3,-11,1
0:00:01.051697,1,-9,0
0:00:01.054323,1,-11,1
0:00:01.056797,1,-11,2
0:00:01.065912,1,-9,1
0:00:01.076507,2,-11,3
0:00:01.079467,2,-11,2
0:00:01.084737,2,-10,0
0:00:01.096475,3,-9,0
0:00:01.113121,2,-11,1
0:00:01.113602,2,-9,2
0:00:01.113738,3,-10,2
0:00:01.133328,2,-9,0
0:00:01.133694,2,-11,2
0:00:01.134147,3,-11,1
0:00:01.142167,0,-8,1
0:00:01.156655,2,-10,1
0:00:01.156725,1,-11,1
0:00:01.166684,1,-9,2
0:00:01.176520,1,-8,0
0:00:01.176586,1,-9,1
0:00:01.184282,2,-10,0
0:00:01.189833,2,-11,0
