timestamp,Razor_acc_x,Razor_acc_y,Razor_acc_z
0:00:00.000408,-0.022,0.001,1.015
0:00:00.000556,-0.02,0.003,1.011
0:00:00.006633,-0.023,0.001,1.013
0:00:00.010759,-0.022,0.002,1.012
0:00:00.015470,-0.022,0.002,1.013
0:00:00.023438,-0.024,0.003,1.017
0:00:00.031958,-0.023,0.001,1.016
0:00:00.038743,-0.023,0.003,1.015
0:00:00.054463,-0.022,-0.0,1.015
0:00:00.058545,-0.023,0.001,1.013
0:00:00.071827,-0.023,0.005,1.017
0:00:00.071965,-0.021,0.003,1.013
0:00:00.087261,-0.024,0.001,1.012
0:00:00.090352,-0.023,0.0,1.016
0:00:00.120797,-0.023,-0.001,1.015
0:00:00.130001,-0.023,0.001,1.013
0:00:00.144426,-0.024,-0.001,1.015
0:00:00.147132,-0.023,0.0,1.012
0:00:00.157951,-0.023,-0.0,1.012
0:00:00.162818,-0.023,0.0,1.014
0:00:00.173673,-0.024,0.002,1.019
0:00:00.179877,-0.023,0.0,1.014
0:00:00.185571,-0.022,-0.002,1.014
0:00:00.200797,-0.023,0.001,1.018
0:00:00.206005,-0.022,0.001,1.014
0:00:00.210496,-0.023,0.0,1.017
0:00:00.215488,-0.024,0.001,1.015
0:00:00.229869,-0.021,-0.0,1.015
0:00:00.234971,-0.022,0.0,1.015
0:00:00.240461,-0.022,0.0,1.016
0:00:00.255237,-0.023,0.002,1.014
0:00:00.255301,-0.023,0.001,1.015
0:00:00.263545,-0.022,0.001,1.018
0:00:00.269693,-0.022,0.002,1.016
0:00:00.277834,-0.022,0.002,1.013
0:00:00.283340,-0.023,0.002,1.014
0:00:00.289472,-0.023,0.0,1.014
0:00:00.294383,-0.024,-0.001,1.012
0:00:00.301057,-0.023,0.001,1.014
0:00:00.305669,-0.024,0.0,1.016
0:00:00.310827,-0.022,-0.001,1.01
0:00:00.315724,-0.022,0.001,1.011
0:00:00.325323,-0.024,0.0,1.012
0:00:00.327761,-0.022,-0.001,1.015
0:00:00.336749,-0.021,0.001,1.017
0:00:00.338907,-0.019,0.0,1.015
0:00:00.343639,-0.021,0.002,1.015
0:00:00.348934,-0.022,0.0,1.014
0:00:00.353769,-0.023,0.001,1.014
0:00:00.360120,-0.023,0.001,1.015
0:00:00.363568,-0.023,0.002,1.018
0:00:00.368864,-0.023,0.002,1.016
0:00:00.373814,-0.023,0.002,1.015
0:00:00.378695,-0.024,-0.0,1.011
0:00:00.383637,-0.025,0.001,1.013
0:00:00.391304,-0.023,-0.0,1.014
0:00:00.396148,-0.023,0.002,1.015
0:00:00.402133,-0.023,-0.0,1.014
0:00:00.411396,-0.024,0.004,1.012
0:00:00.417045,-0.025,0.0,1.013
0:00:00.423607,-0.023,0.0,1.016
0:00:00.428328,-0.023,-0.003,1.018
0:00:00.442521,-0.021,0.0,1.015
0:00:00.447119,-0.022,-0.001,1.01
0:00:00.452157,-0.021,0.001,1.014
0:00:00.457083,-0.022,0.002,1.014
0:00:00.461974,-0.024,0.003,1.013
0:00:00.471528,-0.022,-0.001,1.014
0:00:00.481399,-0.022,-0.001,1.013
0:00:00.489391,-0.023,0.002,1.012
0:00:00.497228,-0.024,0.001,1.016
0:00:00.497309,-0.021,0.003,1.012
0:00:00.502219,-0.02,0.002,1.014
0:00:00.507588,-0.022,0.004,1.015
0:00:00.512206,-0.022,0.002,1.015
0:00:00.517155,-0.025,-0.0,1.012
0:00:00.527447,-0.024,0.0,1.018
0:00:00.527536,-0.025,0.001,1.016
0:00:00.532361,-0.023,0.0,1.016
0:00:00.553053,-0.022,0.002,1.01
0:00:00.559028,-0.021,0.002,1.015
0:00:00.573044,-0.023,0.002,1.014
0:00:00.578533,-0.021,-0.002,1.015
0:00:00.583793,-0.023,-0.002,1.014
0:00:00.588384,-0.023,0.0,1.013
