timestamp,Razor_vel_x,Razor_vel_y,Razor_vel_z
0:00:00.000508,0.092,-0.168,-0.832
0:00:00.000807,0.191,-0.13,-0.854
0:00:00.002681,0.053,-0.198,-0.854
0:00:00.007651,0.053,-0.175,-0.885
0:00:00.017684,0.053,-0.153,-0.763
0:00:00.029262,0.069,-0.175,-0.862
0:00:00.031675,0.145,-0.183,-0.893
0:00:00.053139,0.13,-0.153,-0.893
0:00:00.056038,0.16,-0.183,-0.87
0:00:00.062536,0.237,-0.122,-0.908
0:00:00.081445,0.069,-0.061,-0.916
0:00:00.087923,0.099,-0.153,-0.816
0:00:00.095356,0.084,-0.206,-0.938
0:00:00.100336,0.107,-0.16,-0.9
0:00:00.112792,0.076,-0.13,-0.793
0:00:00.129401,0.084,-0.084,-0.923
0:00:00.137005,0.008,-0.16,-1.022
0:00:00.143645,0.053,-0.221,-1.015
0:00:00.148583,0.114,-0.214,-1.038
0:00:00.172423,0.114,-0.13,-0.778
0:00:00.177424,0.198,-0.183,-0.778
0:00:00.182768,0.061,-0.13,-0.908
0:00:00.193146,0.259,-0.175,-1.03
0:00:00.203857,0.046,-0.206,-0.969
0:00:00.210237,0.221,-0.175,-0.893
0:00:00.226459,0.114,-0.061,-0.832
0:00:00.226583,0.13,-0.198,-0.877
0:00:00.230363,0.092,-0.153,-0.862
0:00:00.242457,0.107,-0.122,-0.923
0:00:00.242818,0.16,-0.092,-0.954
0:00:00.247246,0.092,-0.099,-0.961
0:00:00.254806,0.168,-0.099,-0.916
0:00:00.259922,0.099,-0.13,-0.969
0:00:00.264843,0.183,-0.107,-0.816
0:00:00.270550,0.183,-0.13,-0.839
0:00:00.276216,0.114,-0.084,-0.801
0:00:00.280674,0.061,-0.114,-0.755
0:00:00.285837,0.053,-0.183,-0.862
0:00:00.291419,0.137,-0.16,-0.954
0:00:00.296956,0.145,-0.084,-0.854
0:00:00.301486,0.084,-0.114,-0.946
0:00:00.306541,0.0,-0.183,-0.946
0:00:00.313078,0.046,-0.13,-0.893
0:00:00.318673,0.13,-0.13,-0.854
0:00:00.326983,0.168,-0.145,-0.862
0:00:00.335057,0.153,-0.16,-0.877
0:00:00.339461,0.114,-0.114,-0.877
0:00:00.347780,0.084,-0.069,-0.9
0:00:00.354082,0.107,-0.053,-0.946
0:00:00.359414,0.099,-0.107,-0.893
0:00:00.364246,0.16,-0.13,-0.854
0:00:00.373950,0.153,-0.114,-0.862
0:00:00.381173,0.206,-0.092,-0.816
0:00:00.384459,0.153,-0.061,-0.809
0:00:00.389921,0.229,-0.069,-0.839
0:00:00.394896,0.168,-0.046,-0.893
0:00:00.399983,0.168,-0.015,-0.938
0:00:00.405071,0.092,-0.038,-0.946
0:00:00.410224,0.046,-0.137,-0.938
0:00:00.415387,0.061,-0.206,-0.977
0:00:00.420309,0.16,-0.191,-0.862
0:00:00.425375,0.206,-0.107,-0.877
0:00:00.430707,0.114,-0.145,-0.877
0:00:00.435853,0.114,-0.122,-0.9
0:00:00.440966,0.031,-0.191,-0.854
0:00:00.449444,0.069,-0.13,-0.854
0:00:00.451947,0.13,-0.183,-0.832
0:00:00.456566,0.153,-0.13,-0.74
0:00:00.463649,0.122,-0.145,-0.801
0:00:00.468425,0.038,-0.153,-0.839
0:00:00.472994,0.122,-0.122,-0.87
0:00:00.483250,0.107,-0.16,-0.9
0:00:00.483374,0.076,-0.183,-0.916
0:00:00.488322,0.031,-0.145,-0.923
0:00:00.493477,0.076,-0.175,-0.893
0:00:00.498558,0.008,-0.191,-0.931
0:00:00.504016,0.13,-0.229,-0.946
0:00:00.509217,0.053,-0.191,-0.862
0:00:00.514282,0.153,-0.168,-0.771
0:00:00.519416,0.183,-0.168,-0.839
0:00:00.524482,0.153,-0.122,-0.847
0:00:00.529628,0.175,-0.084,-0.854
0:00:00.537839,0.107,-0.175,-0.9
0:00:00.540021,0.153,-0.114,-0.839
0:00:00.546154,0.175,-0.206,-0.854
0:00:00.556969,0.145,-0.099,-0.854
0:00:00.562013,0.114,-0.137,-0.885
0:00:00.567076,0.16,-0.084,-0.854
0:00:00.572092,0.114,-0.145,-0.786
0:00:00.577120,0.145,-0.092,-0.839
0:00:00.583065,0.069,-0.092,-0.9
0:00:00.587870,0.061,-0.076,-0.908
0:00:00.593106,0.084,-0.061,-0.885
0:00:00.598893,0.168,-0.107,-0.862
0:00:00.603258,0.198,-0.13,-0.839
0:00:00.608289,0.206,-0.175,-0.862
0:00:00.613677,0.16,-0.16,-0.809
0:00:00.618979,0.198,-0.107,-0.847
0:00:00.624324,0.145,-0.114,-0.824
0:00:00.629168,0.145,-0.237,-0.847
0:00:00.634674,0.114,-0.175,-0.87
0:00:00.645461,0.099,-0.145,-0.809
0:00:00.645565,0.13,-0.13,-0.839
0:00:00.650131,0.237,-0.13,-1.015
0:00:00.655245,0.092,-0.191,-0.893
0:00:00.660321,0.145,-0.244,-0.824
0:00:00.665548,0.114,-0.175,-0.793
0:00:00.670541,0.153,-0.206,-0.809
0:00:00.675951,0.168,-0.206,-0.862
0:00:00.680890,0.122,-0.191,-0.877
0:00:00.688389,0.084,-0.145,-0.877
0:00:00.694585,0.107,-0.198,-0.847
0:00:00.697123,0.137,-0.252,-0.877
0:00:00.709144,0.16,-0.191,-0.854
0:00:00.709225,0.122,-0.16,-0.87
0:00:00.712362,0.046,-0.198,-0.916
0:00:00.717219,0.053,-0.114,-0.908
0:00:00.722574,0.038,-0.13,-0.862
0:00:00.730226,0.175,-0.076,-0.839
0:00:00.735274,0.053,-0.114,-0.862
0:00:00.740243,0.092,-0.038,-0.809
0:00:00.746367,0.076,-0.038,-0.793
0:00:00.750349,0.137,-0.099,-0.755
0:00:00.755344,0.122,-0.168,-0.809
0:00:00.766415,0.031,-0.145,-0.778
0:00:00.773579,0.069,-0.221,-0.885
0:00:00.780363,0.114,-0.214,-0.9
0:00:00.785356,0.183,-0.206,-0.893
0:00:00.790841,0.092,-0.229,-0.969
0:00:00.795263,0.061,-0.29,-0.938
0:00:00.801264,0.13,-0.282,-0.969
0:00:00.808513,0.16,-0.13,-0.87
0:00:00.813522,0.145,-0.076,-0.801
0:00:00.820556,0.076,-0.107,-0.786
0:00:00.824882,0.107,-0.053,-0.71
0:00:00.830394,0.137,-0.023,-0.732
0:00:00.835389,0.183,-0.061,-0.793
0:00:00.843401,0.191,-0.092,-0.839
0:00:00.850292,0.069,-0.023,-0.847
0:00:00.857205,0.13,-0.069,-0.87
